appointment_id,appointment_date,start_time,end_time,customer_id,employee_id,service_id,booking_channel,status,is_completed,is_cancelled,is_no_show,duration_min,price,discount,net_revenue,date_id
A000082,2025-01-09,10:00:00,10:45:00,C0251,E004,S008,Treatwell,no_show,False,False,True,45,50,0.0,25.0,2025-01-09
A000083,2025-01-09,16:30:00,18:00:00,C0417,E002,S007,Phone/WhatsApp,no_show,False,False,True,90,90,0.0,45.0,2025-01-09
A000084,2025-01-09,17:00:00,18:15:00,C0349,E003,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-09
A000085,2025-01-09,10:15:00,11:30:00,C0343,E001,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-09
A000086,2025-01-09,13:15:00,14:15:00,C0087,E003,S002,Walk-in,completed,True,False,False,60,60,9.0,51.0,2025-01-09
A000087,2025-01-09,14:45:00,16:15:00,C0349,E002,S007,Treatwell,completed,True,False,False,90,90,0.0,90.0,2025-01-09
A000088,2025-01-09,16:15:00,17:00:00,C0087,E004,S001,Website,completed,True,False,False,45,40,0.0,40.0,2025-01-09
A000089,2025-01-09,13:45:00,14:45:00,C0181,E004,S005,Instagram DM,completed,True,False,False,60,60,0.0,60.0,2025-01-09
A000090,2025-01-09,12:00:00,13:00:00,C0139,E003,S002,Treatwell,no_show,False,False,True,60,60,0.0,30.0,2025-01-09
A000091,2025-01-09,11:15:00,12:15:00,C0131,E004,S002,Website,completed,True,False,False,60,60,0.0,60.0,2025-01-09
A000092,2025-01-09,10:00:00,11:00:00,C0424,E002,S005,Walk-in,completed,True,False,False,60,60,0.0,60.0,2025-01-09
A000093,2025-01-10,12:15:00,13:45:00,C0421,E002,S007,Phone/WhatsApp,completed,True,False,False,90,90,9.0,81.0,2025-01-10
A000094,2025-01-10,13:15:00,15:15:00,C0065,E001,S004,Website,completed,True,False,False,120,100,15.0,85.0,2025-01-10
A000095,2025-01-10,15:00:00,15:45:00,C0201,E004,S008,Phone/WhatsApp,cancelled,False,True,False,45,50,0.0,0.0,2025-01-10
A000096,2025-01-10,17:00:00,18:30:00,C0077,E004,S007,Treatwell,completed,True,False,False,90,90,0.0,90.0,2025-01-10
A000097,2025-01-10,15:45:00,16:30:00,C0445,E004,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-10
A000098,2025-01-10,16:00:00,16:45:00,C0123,E003,S001,Phone/WhatsApp,completed,True,False,False,45,40,4.0,36.0,2025-01-10
A000099,2025-01-10,13:00:00,14:15:00,C0158,E003,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-10
A000100,2025-01-10,10:45:00,11:30:00,C0447,E001,S008,Phone/WhatsApp,completed,True,False,False,45,50,0.0,50.0,2025-01-10
A000101,2025-01-10,17:15:00,18:45:00,C0144,E001,S003,Instagram DM,cancelled,False,True,False,90,75,0.0,0.0,2025-01-10
A000102,2025-01-10,12:45:00,13:30:00,C0126,E004,S008,Website,completed,True,False,False,45,50,0.0,50.0,2025-01-10
A000103,2025-01-10,11:45:00,13:00:00,C0260,E001,S003,Treatwell,completed,True,False,False,75,70,7.0,63.0,2025-01-10
A000104,2025-01-10,17:00:00,18:00:00,C0161,E002,S002,Walk-in,completed,True,False,False,60,60,9.0,51.0,2025-01-10
A000105,2025-01-10,10:45:00,12:15:00,C0260,E002,S007,Treatwell,completed,True,False,False,90,90,0.0,90.0,2025-01-10
A000106,2025-01-10,11:15:00,12:45:00,C0152,E004,S007,Instagram DM,completed,True,False,False,90,90,13.5,76.5,2025-01-10
A000107,2025-01-10,13:30:00,14:45:00,C0221,E004,S003,Website,cancelled,False,True,False,75,70,0.0,0.0,2025-01-10
A000108,2025-01-11,13:30:00,15:00:00,C0357,E001,S003,Walk-in,completed,True,False,False,90,80,0.0,80.0,2025-01-11
A000109,2025-01-11,10:15:00,11:00:00,C0434,E001,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-11
A000110,2025-01-11,16:30:00,17:15:00,C0398,E003,S001,Instagram DM,completed,True,False,False,45,40,0.0,40.0,2025-01-11
A000111,2025-01-11,11:15:00,12:15:00,C0273,E003,S002,Walk-in,completed,True,False,False,60,60,0.0,60.0,2025-01-11
A000112,2025-01-11,17:15:00,18:45:00,C0250,E003,S003,Instagram DM,cancelled,False,True,False,90,85,0.0,0.0,2025-01-11
A000113,2025-01-11,16:00:00,17:15:00,C0001,E001,S003,Treatwell,completed,True,False,False,75,70,10.5,59.5,2025-01-11
A000114,2025-01-11,12:30:00,13:30:00,C0239,E001,S005,Website,completed,True,False,False,60,60,0.0,60.0,2025-01-11
A000115,2025-01-11,16:45:00,17:30:00,C0220,E004,S001,Phone/WhatsApp,completed,True,False,False,45,40,0.0,40.0,2025-01-11
A000116,2025-01-11,14:30:00,15:30:00,C0082,E003,S005,Instagram DM,cancelled,False,True,False,60,60,0.0,0.0,2025-01-11
A000117,2025-01-11,13:30:00,14:15:00,C0106,E003,S001,Instagram DM,completed,True,False,False,45,40,4.0,36.0,2025-01-11
A000118,2025-01-11,17:15:00,18:45:00,C0299,E001,S007,Treatwell,completed,True,False,False,90,90,0.0,90.0,2025-01-11
A000119,2025-01-11,12:15:00,13:30:00,C0296,E003,S003,Instagram DM,completed,True,False,False,75,70,0.0,70.0,2025-01-11
A000120,2025-01-11,15:30:00,16:30:00,C0298,E003,S005,Phone/WhatsApp,completed,True,False,False,60,60,0.0,60.0,2025-01-11
A000121,2025-01-11,10:00:00,11:15:00,C0389,E003,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-11
A000122,2025-01-11,16:30:00,17:45:00,C0234,E002,S003,Instagram DM,completed,True,False,False,75,70,0.0,70.0,2025-01-11
A000123,2025-01-11,13:15:00,14:00:00,C0019,E004,S001,Walk-in,completed,True,False,False,45,40,0.0,40.0,2025-01-11
A000124,2025-01-13,10:15:00,11:00:00,C0217,E004,S008,Walk-in,completed,True,False,False,45,50,0.0,50.0,2025-01-13
A000125,2025-01-13,13:30:00,14:15:00,C0157,E003,S001,Website,completed,True,False,False,45,40,6.0,34.0,2025-01-13
A000126,2025-01-13,10:45:00,12:00:00,C0393,E002,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-13
A000127,2025-01-13,11:45:00,12:45:00,C0384,E001,S005,Walk-in,completed,True,False,False,60,60,0.0,60.0,2025-01-13
A000128,2025-01-13,16:45:00,18:00:00,C0136,E003,S006,Treatwell,completed,True,False,False,75,80,0.0,80.0,2025-01-13
A000129,2025-01-13,15:00:00,16:00:00,C0271,E002,S005,Phone/WhatsApp,cancelled,False,True,False,60,60,6.0,0.0,2025-01-13
A000130,2025-01-13,17:00:00,19:00:00,C0285,E002,S004,Instagram DM,cancelled,False,True,False,120,100,15.0,0.0,2025-01-13
A000131,2025-01-13,15:00:00,15:45:00,C0330,E003,S001,Website,completed,True,False,False,45,40,0.0,40.0,2025-01-13
A000132,2025-01-13,12:15:00,13:15:00,C0440,E003,S005,Instagram DM,completed,True,False,False,60,60,0.0,60.0,2025-01-13
A000133,2025-01-13,13:15:00,15:30:00,C0458,E001,S004,Instagram DM,completed,True,False,False,135,110,0.0,110.0,2025-01-13
A000134,2025-01-13,10:00:00,10:45:00,C0190,E001,S001,Website,completed,True,False,False,45,40,0.0,40.0,2025-01-13
A000135,2025-01-13,13:30:00,14:30:00,C0022,E002,S001,Treatwell,completed,True,False,False,60,60,0.0,60.0,2025-01-13
A000136,2025-01-13,10:30:00,11:15:00,C0417,E003,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-13
A000137,2025-01-13,18:00:00,19:00:00,C0387,E003,S001,Instagram DM,completed,True,False,False,60,60,0.0,60.0,2025-01-13
A000138,2025-01-14,15:00:00,17:00:00,C0379,E003,S004,Treatwell,no_show,False,False,True,120,100,0.0,50.0,2025-01-14
A000139,2025-01-14,11:15:00,12:30:00,C0453,E003,S003,Instagram DM,completed,True,False,False,75,70,7.0,63.0,2025-01-14
A000140,2025-01-14,12:30:00,13:45:00,C0145,E002,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-14
A000141,2025-01-14,12:45:00,14:15:00,C0230,E004,S003,Treatwell,completed,True,False,False,90,80,0.0,80.0,2025-01-14
A000142,2025-01-14,15:30:00,16:45:00,C0173,E004,S003,Instagram DM,completed,True,False,False,75,70,0.0,70.0,2025-01-14
A000143,2025-01-14,11:15:00,12:15:00,C0399,E002,S005,Walk-in,completed,True,False,False,60,60,0.0,60.0,2025-01-14
A000144,2025-01-14,16:00:00,18:00:00,C0147,E001,S004,Website,completed,True,False,False,120,100,0.0,100.0,2025-01-14
A000145,2025-01-14,17:00:00,18:15:00,C0169,E002,S003,Instagram DM,completed,True,False,False,75,70,0.0,70.0,2025-01-14
A000146,2025-01-14,15:00:00,16:30:00,C0408,E002,S007,Instagram DM,no_show,False,False,True,90,90,0.0,45.0,2025-01-14
A000147,2025-01-14,13:30:00,15:00:00,C0331,E003,S003,Phone/WhatsApp,completed,True,False,False,90,80,12.0,68.0,2025-01-14
A000148,2025-01-14,10:30:00,11:15:00,C0275,E003,S001,Website,completed,True,False,False,45,40,6.0,34.0,2025-01-14
A000149,2025-01-14,10:00:00,11:15:00,C0253,E002,S006,Treatwell,completed,True,False,False,75,80,0.0,80.0,2025-01-14
A000150,2025-01-14,13:30:00,15:30:00,C0129,E001,S004,Phone/WhatsApp,completed,True,False,False,120,100,10.0,90.0,2025-01-14
A000151,2025-01-15,17:45:00,18:45:00,C0423,E004,S002,Treatwell,completed,True,False,False,60,60,0.0,60.0,2025-01-15
A000152,2025-01-15,11:30:00,12:15:00,C0410,E004,S008,Treatwell,completed,True,False,False,45,50,0.0,50.0,2025-01-15
A000153,2025-01-15,17:45:00,18:30:00,C0264,E001,S001,Treatwell,completed,True,False,False,45,40,4.0,36.0,2025-01-15
A000154,2025-01-15,15:30:00,16:30:00,C0333,E002,S005,Website,completed,True,False,False,60,60,6.0,54.0,2025-01-15
A000155,2025-01-15,15:30:00,16:30:00,C0376,E001,S002,Phone/WhatsApp,completed,True,False,False,60,60,0.0,60.0,2025-01-15
A000156,2025-01-15,12:30:00,13:45:00,C0050,E001,S002,Walk-in,cancelled,False,True,False,75,75,7.5,0.0,2025-01-15
A000157,2025-01-15,12:15:00,13:45:00,C0059,E002,S007,Instagram DM,completed,True,False,False,90,90,0.0,90.0,2025-01-15
A000158,2025-01-15,14:00:00,14:45:00,C0209,E002,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-15
A000159,2025-01-15,10:15:00,12:15:00,C0281,E001,S004,Phone/WhatsApp,completed,True,False,False,120,100,0.0,100.0,2025-01-15
A000160,2025-01-15,10:00:00,11:30:00,C0176,E003,S007,Walk-in,completed,True,False,False,90,90,0.0,90.0,2025-01-15
A000161,2025-01-15,14:00:00,15:15:00,C0300,E001,S006,Phone/WhatsApp,completed,True,False,False,75,80,0.0,80.0,2025-01-15
A000162,2025-01-15,14:45:00,16:45:00,C0392,E004,S004,Website,completed,True,False,False,120,100,15.0,85.0,2025-01-15
A000163,2025-01-16,16:15:00,17:00:00,C0371,E001,S001,Phone/WhatsApp,no_show,False,False,True,45,40,0.0,20.0,2025-01-16
A000164,2025-01-16,10:15:00,11:00:00,C0231,E003,S001,Website,no_show,False,False,True,45,40,0.0,20.0,2025-01-16
A000165,2025-01-16,15:45:00,16:45:00,C0296,E004,S001,Walk-in,completed,True,False,False,60,55,5.5,49.5,2025-01-16
A000166,2025-01-16,15:00:00,16:00:00,C0042,E003,S002,Website,completed,True,False,False,60,60,6.0,54.0,2025-01-16
A000167,2025-01-16,15:15:00,16:00:00,C0157,E001,S001,Phone/WhatsApp,completed,True,False,False,45,40,0.0,40.0,2025-01-16
A000168,2025-01-16,11:00:00,12:30:00,C0100,E001,S007,Instagram DM,cancelled,False,True,False,90,90,0.0,0.0,2025-01-16
A000169,2025-01-16,18:00:00,19:00:00,C0008,E001,S001,Treatwell,completed,True,False,False,60,55,5.5,49.5,2025-01-16
A000170,2025-01-16,12:45:00,14:00:00,C0377,E001,S002,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-16
A000171,2025-01-16,11:15:00,12:00:00,C0262,E003,S008,Phone/WhatsApp,completed,True,False,False,45,50,0.0,50.0,2025-01-16
A000172,2025-01-16,10:00:00,10:45:00,C0156,E001,S001,Instagram DM,completed,True,False,False,45,40,0.0,40.0,2025-01-16
A000173,2025-01-16,17:15:00,18:30:00,C0143,E003,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-16
A000174,2025-01-16,15:00:00,15:45:00,C0005,E002,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-16
A000175,2025-01-16,13:15:00,14:00:00,C0433,E002,S001,Walk-in,no_show,False,False,True,45,40,0.0,20.0,2025-01-16
A000176,2025-01-16,14:00:00,15:15:00,C0298,E001,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-16
A000177,2025-01-16,10:00:00,11:15:00,C0177,E004,S006,Walk-in,completed,True,False,False,75,80,8.0,72.0,2025-01-16
A000178,2025-01-16,17:30:00,18:45:00,C0020,E002,S006,Walk-in,completed,True,False,False,75,80,0.0,80.0,2025-01-16
A000179,2025-01-16,13:15:00,14:45:00,C0415,E004,S007,Phone/WhatsApp,cancelled,False,True,False,90,90,0.0,0.0,2025-01-16
A000180,2025-01-16,12:45:00,14:00:00,C0151,E003,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-16
A000181,2025-01-16,12:15:00,13:15:00,C0261,E002,S005,Treatwell,completed,True,False,False,60,60,0.0,60.0,2025-01-16
A000182,2025-01-16,16:15:00,17:30:00,C0430,E002,S003,Instagram DM,completed,True,False,False,75,70,7.0,63.0,2025-01-16
A000183,2025-01-16,16:45:00,18:45:00,C0253,E004,S004,Treatwell,completed,True,False,False,120,100,0.0,100.0,2025-01-16
A000184,2025-01-16,11:15:00,12:45:00,C0225,E004,S007,Walk-in,completed,True,False,False,90,90,9.0,81.0,2025-01-16
A000185,2025-01-16,17:00:00,18:00:00,C0372,E001,S001,Treatwell,completed,True,False,False,60,50,0.0,50.0,2025-01-16
A000186,2025-01-16,10:15:00,12:15:00,C0240,E002,S004,Treatwell,completed,True,False,False,120,100,0.0,100.0,2025-01-16
A000187,2025-01-16,14:15:00,15:00:00,C0207,E002,S001,Walk-in,completed,True,False,False,45,40,0.0,40.0,2025-01-16
A000188,2025-01-17,13:15:00,14:30:00,C0170,E001,S003,Treatwell,completed,True,False,False,75,70,7.0,63.0,2025-01-17
A000189,2025-01-17,18:15:00,19:00:00,C0284,E002,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-17
A000190,2025-01-17,11:30:00,12:45:00,C0176,E004,S003,Walk-in,completed,True,False,False,75,70,0.0,70.0,2025-01-17
A000191,2025-01-17,17:15:00,18:15:00,C0072,E002,S001,Instagram DM,completed,True,False,False,60,50,0.0,50.0,2025-01-17
A000192,2025-01-17,11:15:00,12:30:00,C0206,E002,S006,Phone/WhatsApp,completed,True,False,False,75,80,0.0,80.0,2025-01-17
A000193,2025-01-17,14:15:00,15:00:00,C0327,E004,S008,Walk-in,completed,True,False,False,45,50,0.0,50.0,2025-01-17
A000194,2025-01-17,16:00:00,17:00:00,C0095,E004,S005,Treatwell,cancelled,False,True,False,60,60,0.0,0.0,2025-01-17
A000195,2025-01-17,13:30:00,14:45:00,C0414,E003,S006,Treatwell,completed,True,False,False,75,80,12.0,68.0,2025-01-17
A000196,2025-01-17,10:00:00,11:00:00,C0261,E004,S005,Phone/WhatsApp,completed,True,False,False,60,60,9.0,51.0,2025-01-17
A000197,2025-01-17,17:15:00,18:30:00,C0085,E004,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-17
A000198,2025-01-17,15:00:00,15:45:00,C0214,E001,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-17
A000199,2025-01-17,15:00:00,15:45:00,C0141,E004,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-17
A000200,2025-01-17,10:45:00,11:30:00,C0404,E001,S001,Website,completed,True,False,False,45,40,0.0,40.0,2025-01-17
A000201,2025-01-17,12:45:00,13:30:00,C0137,E004,S008,Treatwell,completed,True,False,False,45,50,0.0,50.0,2025-01-17
A000202,2025-01-17,16:15:00,17:00:00,C0172,E003,S001,Phone/WhatsApp,completed,True,False,False,45,40,6.0,34.0,2025-01-17
A000203,2025-01-17,11:30:00,12:45:00,C0063,E001,S006,Phone/WhatsApp,completed,True,False,False,75,80,12.0,68.0,2025-01-17
